[6/2/2025 8:10:34] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:34] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:34] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:34] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:34] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:34] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:34] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:34] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:34] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:34] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:34] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:34] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:35] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:35] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:35] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:35] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:39] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:39] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:39] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:39] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:39] Warning: 0 (File: LifeComponent::DecrementLife | Line: 23)
[6/2/2025 8:10:41] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:41] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:41] Error: Cannot open file with an empty path ! (File: TextureManager::Load | Line: 58)
[6/2/2025 8:10:41] Error: Cannot open file with the following path : 'Assets/Textures/.png' ! (File: TextureManager::LoadTexture | Line: 28)
[6/2/2025 8:10:42] Warning: 0 (File: LifeComponent::DecrementLife | Line: 23)
[6/2/2025 8:10:42] Warning: 0 (File: LifeComponent::DecrementLife | Line: 23)
